# Japanese Wrong Kanji Correction Dictionary
# 日本語間違った漢字修正辞書
# Format: reading|correct_kanji|wrong_kanji(s)|keywords|full_example|freq|source
# Note: keywords/examples help context scoring; freq/source help metadata priority.
kanji|監視|覧視|coverage_boost,manual_curated,カメラ,安全|街頭の監視カメラが犯行を捉えた|10|human_verified
kanji|磁気|滋気|coverage_boost,manual_curated,カード,読み取り|カードの磁気が弱まっている|10|human_verified
kanji|奮闘|奪闘|coverage_boost,manual_curated,努力,挑戦|最後まで諦めずに奮闘する姿|10|human_verified
kanji|暫定|斬定|coverage_boost,manual_curated,予算案,議会|暫定的な予算案が承認された|10|human_verified
kanji|撮影|撮映|coverage_boost,manual_curated,現場,映像|現場の撮影を許可されているのは関係者のみ|10|human_verified
kanji|概要|概用|coverage_boost,manual_curated,論文,研究|論文の概要を読み目的を把握する|10|human_verified
kanji|模範|模氾|coverage_boost,manual_curated,後輩,手本|常に良き模範となる存在だ|10|human_verified
kanji|逮捕状|帯捕状|coverage_boost,manual_curated,警察,法|警察から逮捕状が出ている|10|human_verified
kanji|露骨|路骨|coverage_boost,manual_curated,態度,拒絶|あまりにも露骨な拒絶反応だった|10|human_verified
kanji|愉快|輸快|coverage_boost,manual_curated,仲間,旅|愉快な仲間たちと旅の計画を立てる|10|human_verified
kanji|妨害|妨外|coverage_boost,manual_curated,公務,違反|公務の妨害を理由に拘束された|10|human_verified
kanji|衣服|依服|coverage_boost,manual_curated,洗濯,服|泥だらけになった衣服を洗濯する|10|human_verified
kanji|恩恵|思恵|coverage_boost,manual_curated,太陽,植物|太陽の恩恵を受けて植物が育つ|10|human_verified
kanji|誘惑|誘成|coverage_boost,manual_curated,甘い言葉,散財|甘い言葉の誘惑に負けてしまった|10|human_verified
kanji|疑念|疑画|coverage_boost,manual_curated,行動,視線|彼の行動には常に疑念の目が向けられる|10|human_verified
kanji|獲物|獲勿|coverage_boost,manual_curated,狩猟,分配|狩猟で得た獲物を分け合う|10|human_verified
kanji|繁華街|繋華街|coverage_boost,manual_curated,夜,街|夜の繁華街は多くの人で賑わう|10|human_verified
kanji|完璧|完壁|coverage_boost,manual_curated,仕上がり,調整|完璧な仕上がりを目指して調整する|10|human_verified
kanji|挨拶|挨接|coverage_boost,manual_curated,礼儀,関係|丁寧な挨拶こそが関係の基本だ|10|human_verified
kanji|曖昧|愛昧|coverage_boost,manual_curated,返答,本心|返答は曖昧で本心が分からない|10|human_verified
kanji|緻密|微密|coverage_boost,manual_curated,計画,設計|緻密に練られた計画が実行に移された|10|human_verified
kanji|萎縮|意縮|coverage_boost,manual_curated,寒さ,体|寒さで体が萎縮して動きにくい|10|human_verified
kanji|捏造|掲造|coverage_boost,manual_curated,証拠,不正|証拠を捏造することは許されない|10|human_verified
kanji|典型|転型|coverage_boost,manual_curated,詐欺,手口|これは典型的な詐欺の手口だ|10|human_verified
kanji|隠密|隠蜜|coverage_boost,manual_curated,行動,追跡|隠密に行動し慎重に追跡する|10|human_verified
kanji|遵守|尊守|coverage_boost,manual_curated,法,義務|法を遵守することは国民の義務だ|10|human_verified
kanji|破棄|破記|coverage_boost,manual_curated,書類,処分|不要書類はシュレッダーで破棄する|10|human_verified
kanji|獲得|獲特|coverage_boost,manual_curated,ポイント,期限|獲得したポイントを期限内に使う|10|human_verified
kanji|残酷|残刻|coverage_boost,manual_curated,運命,現実|残酷な運命を呪っても現実は変わらない|10|human_verified
