    # Japanese Vocabulary List / 日本語語彙リスト
    # Similar to English words.txt format
    # Includes common words found in ASR error correction tasks

    # Format: word | reading | frequency | part_of_speech

    # Particles (助詞)
    休み|yasumi|high|noun
    休暇|kyuuka|medium|noun
    問題|mondai|very_high|noun
    答え|kotae|very_high|noun
    質問|shitsumon|very_high|noun
    回答|kaitou|very_high|noun
    意見|iken|very_high|noun
    話|hanashi|very_high|noun
    言葉|kotoba|very_high|noun
    声|koe|高|noun
    顔|kao|high|noun
    頭|atama|high|noun
    目|me|high|noun
    耳|mimi|high|noun
    口|kuchi|high|noun
    手|te|very_high|noun
    足|ashi|high|noun
    体|karada|high|noun
    心|kokoro|high|noun
    気持ち|kimochi|high|noun
    病気|byouki|high|noun
    怪我|kega|medium|noun
    薬|kusuri|high|noun
    服|fuku|high|noun
    靴|kutsu|high|noun
    眼鏡|megane|medium|noun
    鞄|kaban|medium|noun
    傘|kasa|medium|noun
    時計|tokei|high|noun
    鍵|kagi|medium|noun
    机|tsukue|high|noun
    椅子|isu|high|noun
    窓|mado|high|noun
    扉|tobira|medium|noun
    部屋|heya|high|noun
    電話|denwa|very_high|noun
    車|kuruma|very_high|noun
    電車|densha|very_high|noun
    バス|basu|high|noun
    飛行機|hikouki|high|noun
    船|fune|high|noun
    自転車|jitensha|high|noun

    # Business/Work terms (ビジネス用語)
    会議|kaigi|very_high|noun
    プロジェクト|purojekuto|very_high|noun
    計画|keikaku|very_high|noun
    提案|teian|high|noun
    報告|houkoku|high|noun
    資料|shiryou|very_high|noun
    書類|shorui|high|noun
    契約|keiyaku|high|noun
    予算|yosan|high|noun
    売上|uriage|high|noun
    利益|rieki|high|noun
    顧客|kokyaku|high|noun
    取引|torihiki|high|noun
    交渉|koushou|high|noun
    決定|kettei|high|noun
    実行|jikkou|high|noun
    達成|tassei|high|noun
    成功|seikou|very_high|noun
    失敗|shippai|high|noun
    課題|kadai|high|noun
    目標|mokuhyou|very_high|noun
    結果|kekka|very_high|noun
    効果|kouka|high|noun
    改善|kaizen|high|noun
    開発|kaihatsu|high|noun
    製品|seihin|high|noun
    商品|shouhin|high|noun
    サービス|saabisu|high|noun
    品質|hinshitsu|high|noun
    管理|kanri|high|noun
    システム|shisutemu|very_high|noun
    技術|gijutsu|very_high|noun
    方法|houhou|very_high|noun

    # Administrative/Government terms (行政用語)
    政府|seifu|very_high|noun
    政治|seiji|very_high|noun
    政策|seisaku|very_high|noun
    法律|houritsu|high|noun
    規則|kisoku|high|noun
    制度|seido|high|noun
    税金|zeikin|high|noun
    選挙|senkyo|high|noun
    国民|kokumin|high|noun
    市民|shimin|high|noun
    社会|shakai|very_high|noun
    経済|keizai|very_high|noun
    教育|kyouiku|very_high|noun
    文化|bunka|very_high|noun
    歴史|rekishi|very_high|noun
    伝統|dentou|high|noun

    # Action/Process terms (動作・プロセス)
    作業|sagyou|very_high|noun
    手順|tejun|high|noun
    工程|koutei|high|noun
    過程|katei|high|noun
    段階|dankai|high|noun
    準備|junbi|very_high|noun
    確認|kakunin|very_high|noun
    検討|kentou|high|noun
    調査|chousa|high|noun
    研究|kenkyuu|high|noun
    分析|bunseki|high|noun
    評価|hyouka|high|noun
    判断|handan|high|noun
    決断|ketsudan|high|noun
    選択|sentaku|high|noun
    移行|ikou|high|noun
    変更|henkou|high|noun
    修正|shuusei|very_high|noun
    訂正|teisei|high|noun
    対応|taiou|very_high|noun
    処理|shori|high|noun
    操作|sousa|high|noun

    # Abstract concepts (抽象概念)
    事|koto|very_high|noun
    物|mono|very_high|noun
    為|tame|very_high|noun
    様|you|high|noun
    事実|jijitsu|high|noun
    真実|shinjitsu|high|noun
    理由|riyuu|very_high|noun
    原因|genin|high|noun
    理解|rikai|very_high|noun
    説明|setsumei|very_high|noun
    情報|jouhou|very_high|noun
    知識|chishiki|high|noun
    経験|keiken|high|noun
    能力|nouryoku|high|noun
    力|chikara|high|noun
    努力|doryoku|very_high|noun
    注意|chuui|high|noun
    関心|kanshin|high|noun
    興味|kyoumi|high|noun
    希望|kibou|high|noun
    願い|negai|high|noun
    夢|yume|high|noun
    目的|mokuteki|very_high|noun
    意味|imi|very_high|noun
    価値|kachi|high|noun
    影響|eikyou|high|noun
    効率|kouritsu|high|noun
    速度|sokudo|medium|noun
    程度|teido|high|noun
    状態|joutai|high|noun
    状況|joukyou|very_high|noun
    場合|baai|very_high|noun
    条件|jouken|high|noun
    基準|kijun|high|noun
    規模|kibo|medium|noun
    範囲|han'i|high|noun
    全体|zentai|high|noun
    部分|bubun|high|noun
